altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1782.816622,-13.15143495,11.53729386,12.34301526,-0.3,-0.1,-0.1
1586.024775,-19.87837387,11.17296158,1.722514066,-0.1,0.9,-0.1
1279.48009,-18.94415095,13.63530545,-91.09338807,1.0,-0.7,0.0
992.2598614,-26.16574783,22.83310188,-73.16756212,-1.0,-0.4,-0.9
696.2557414,-33.31034622,-68.30391593,-61.9363481,-0.6,0.8,0.6
395.1077368,-28.79180722,70.11522013,-27.16743681,-0.8,0.8,-0.3
167.8591357,-23.9237568,-3.785721437,-17.16699883,1.0,-1.0,-0.8
Reward,,,,1.4477278470993042
Flight Duration,,,,14.477278470993042
