altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1787.499292,-11.49987546,2.148393923,-28.14727006,-1.0,-1.0,-1.0
1604.630486,3.775976972,-33.23181828,-345.5049355,0.3,-0.5,0.3
1381.877308,-23.01337082,32.42786043,44.28733008,-1.0,-1.0,-1.0
1234.996852,7.502447602,-20.12903977,-192.5302973,-0.6,0.9,0.5
1162.577475,-5.582853761,6.597406062,-200.7557013,0.2,0.2,-0.5
933.915753,-28.69175449,-44.54343468,26.39932519,-1.0,-1.0,-1.0
740.2548513,8.513528123,-26.97396493,-246.5643335,-0.7,-0.4,0.1
688.8103796,-4.67018322,18.40414981,-103.7928662,-0.9,0.0,0.1
769.1129675,-0.3134826634,7.301557707,110.4252516,0.1,0.0,0.9
619.298825,-8.887237888,27.75562124,59.82064545,0.2,-0.7,-0.7
647.9995436,-2.438161991,-1.589490869,19.10010733,-0.4,-0.2,0.8
646.1345333,-2.908538512,11.09444101,-26.84095803,0.6,-0.4,0.9
529.0793845,-10.75163391,39.3175869,66.55669175,0.8,0.6,-0.2
387.0863403,-8.566442064,-11.34451067,61.78218847,-1.0,-1.0,-1.0
315.1438278,1.725284784,-19.65327065,-220.6576093,-0.5,-0.9,-0.8
136.8193186,-10.01075388,-20.92740001,-157.8569624,0.1,0.7,0.2
Reward,,,,3.327249264717102
Flight Duration,,,,33.27249264717102
