altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1786.053676,-11.55422341,2.150173884,-28.14194395,-0.3,0.0,-0.4
1599.3017,-12.7316871,-18.58753638,-79.70550957,0.9,-0.5,-0.5
1604.676469,-7.211338843,1.495482376,54.76706403,0.2,0.3,-0.6
1594.112126,-5.425715028,-9.51808172,17.11234743,1.0,0.7,0.7
1518.790676,-7.97939509,10.83201151,60.84301858,0.3,0.9,0.0
1385.254786,-13.23218708,-19.74795603,44.02096673,-0.3,-0.6,-0.8
1170.823246,-13.7969471,-27.66571816,-119.8277899,0.3,-0.8,-0.8
935.3609671,-25.33076416,-23.23005538,23.7137064,-0.9,0.4,-0.2
735.3689814,1.522944681,-22.95867847,-177.6911345,-1.0,-1.0,-1.0
790.3915984,6.644263279,-14.17932381,-128.5269619,-0.7,-0.6,-0.9
808.1757222,-3.038999159,-21.32449028,-133.9876962,0.0,-0.3,1.0
752.3280839,-7.935359008,28.50353208,-8.37927504,-1.0,-0.6,-0.8
787.8940305,-0.3186418251,-4.268507457,-73.49414798,0.5,-0.9,-0.3
685.0533749,-11.33207519,9.22894681,60.28500225,-1.0,-1.0,-1.0
497.100303,7.04365892,-19.79989405,-203.4318155,0.8,0.3,-0.7
368.4514143,-19.19695985,-43.27999937,111.6641805,0.6,-0.4,-0.2
253.2967809,-9.314160384,-1.935432866,34.63150314,0.6,-0.2,0.4
232.7315213,-9.368793672,12.07248956,45.24855104,0.0,0.7,0.4
Reward,,,,3.7689812898635866
Flight Duration,,,,37.689812898635864
