altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1727.568914,-5.897493326,1.573762738,46.5579813,-0.9,0.1,0.8
1745.840425,-1.368660843,11.21095571,-44.20504585,-0.3,-0.3,0.3
1678.337097,-6.841879581,17.83618164,-54.07914149,-1.0,-1.0,-1.0
1509.801,5.462398724,-26.63697125,-285.8907695,0.5,-0.2,0.1
1278.023869,-24.23335771,18.31093627,91.47333146,-0.3,0.7,-0.4
1114.159987,-13.53350881,-36.2633471,-86.62078142,-1.0,-0.4,-0.5
957.724011,7.671355277,-9.527589072,-130.0904772,-1.0,0.1,-1.0
1064.335736,-0.157738987,-34.93171113,-174.4938104,-0.8,-0.1,-1.0
935.0556195,-0.1049051084,-22.10231468,-69.35165019,-0.9,-0.3,0.9
1044.001813,-0.2260661853,6.741486715,0.06830009007,-1.0,-1.0,-1.0
1035.682887,0.4045509879,-8.213117247,-100.141941,-0.5,0.0,0.0
935.3815452,-3.347734715,4.368553852,-76.39095465,-0.1,0.5,0.2
913.0101338,-5.598484249,-1.732596059,-30.05417818,0.5,-1.0,0.2
919.6833427,-7.445075319,17.6195085,30.78938498,0.7,-1.0,0.6
834.5313978,-6.145026606,23.20773994,50.67662498,0.3,-0.9,0.2
751.6250385,-10.70326383,23.94075316,31.21473748,-0.3,-0.9,0.8
574.8358774,-11.44476712,64.17966864,-56.23832398,-0.9,0.6,-0.7
342.5993533,-0.4605964935,-58.56209787,-180.9049337,0.8,0.7,-0.5
314.1550859,-8.813748838,-16.04440295,44.75752571,0.8,-0.8,-0.4
337.802145,-3.834624284,2.101207002,49.30751214,-0.6,0.3,-1.0
309.8867595,-2.536133513,-19.47477775,-46.4517893,-1.0,0.3,-0.1
201.4876378,3.017883647,30.39140715,-68.91397495,0.9,-0.7,0.5
164.7446179,-5.46622461,8.37336308,19.07852724,0.0,-0.4,0.4
Reward,,,,4.842046642303467
Flight Duration,,,,48.42046642303467
